Expense Category,Budgeted Amount,Actual Amount,Variance,Variance %,Comments
Training and Development,54082.96,63953.757617004165,9870.797617004166,18.25,Underutilized training budget
Training and Development,12861.82,16428.682902246026,3566.8629022460264,27.73,Underutilized training budget
Salaries and Wages,31995.24,37770.088597327645,5774.848597327644,18.05,Overdue to overtime and staffing needs
Technology Equipment,82593.69,80951.29485530751,-1642.3951446924912,-1.99,High due to unexpected upgrades
Salaries and Wages,48131.91,44358.858935493496,-3773.051064506508,-7.84,Overdue to overtime and staffing needs
Miscellaneous Expenses,67339.63,84935.67070890576,17596.040708905755,26.13,Unexpected miscellaneous costs
Office Supplies,57155.74,53697.195900849256,-3458.544099150742,-6.05,Overdue to remote work increase
Utilities,31184.76,29651.75049832484,-1533.0095016751584,-4.92,"Efficient usage, possibly due to energy-saving initiatives"
Utilities,25470.65,23948.66593882481,-1521.9840611751897,-5.98,"Efficient usage, possibly due to energy-saving initiatives"
Technology Equipment,79509.16,82920.14764876751,3410.9876487675065,4.29,High due to unexpected upgrades
Technology Equipment,42143.07,34917.41165652129,-7225.65834347871,-17.15,High due to unexpected upgrades
Travel Expenses,18018.66,22632.288675905536,4613.6286759055365,25.6,Under budget due to reduced travel
Travel Expenses,83037.77,82645.93014395676,-391.8398560432397,-0.47,Under budget due to reduced travel
Consulting Fees,29377.25,33264.693062070015,3887.443062070015,13.23,Savings from in-house expertise
Salaries and Wages,45796.87,43760.148620791435,-2036.7213792085677,-4.45,Overdue to overtime and staffing needs
Office Supplies,76938.82,90345.94622504369,13407.126225043685,17.43,Overdue to remote work increase
Marketing Expenses,46346.27,52495.676294138444,6149.406294138447,13.27,Increased campaign costs
Salaries and Wages,82842.39,70071.02718972295,-12771.362810277045,-15.42,Overdue to overtime and staffing needs
Marketing Expenses,49553.56,59404.08400871659,9850.524008716595,19.88,Increased campaign costs
Office Supplies,29169.02,24610.74389075601,-4558.2761092439905,-15.63,Overdue to remote work increase
Miscellaneous Expenses,39166.42,39840.94347550488,674.5234755048805,1.72,Unexpected miscellaneous costs
Consulting Fees,90697.17,111955.93648549811,21258.766485498112,23.44,Savings from in-house expertise
Marketing Expenses,44072.09,45285.823432701014,1213.7334327010176,2.75,Increased campaign costs
Miscellaneous Expenses,43153.12,40789.29326717476,-2363.8267328252405,-5.48,Unexpected miscellaneous costs
Miscellaneous Expenses,64404.92,59570.518690863246,-4834.401309136752,-7.51,Unexpected miscellaneous costs
Utilities,64705.4,68050.71277652011,3345.3127765201134,5.17,"Efficient usage, possibly due to energy-saving initiatives"
Marketing Expenses,81640.65,71765.78403514002,-9874.865964859971,-12.1,Increased campaign costs
Technology Equipment,55476.77,59267.249784988184,3790.479784988187,6.83,High due to unexpected upgrades
Consulting Fees,11995.13,14525.177303735885,2530.047303735886,21.09,Savings from in-house expertise
Training and Development,68906.8,75955.81685896864,7049.016858968636,10.23,Underutilized training budget
Training and Development,70085.69,76010.25649426445,5924.566494264451,8.45,Underutilized training budget
Marketing Expenses,83804.61,69312.03916111214,-14492.570838887856,-17.29,Increased campaign costs
Travel Expenses,80631.03,90617.06720271661,9986.037202716616,12.38,Under budget due to reduced travel
Utilities,11009.49,10717.958842469603,-291.53115753039674,-2.65,"Efficient usage, possibly due to energy-saving initiatives"
Training and Development,53176.98,58012.808368939404,4835.828368939401,9.09,Underutilized training budget
Employee Benefits,18044.46,20090.604598296075,2046.1445982960759,11.34,Lower due to reduced benefits claims
Marketing Expenses,63845.81,68669.3446446724,4823.5346446724,7.55,Increased campaign costs
Technology Equipment,14806.14,12967.132760502354,-1839.007239497645,-12.42,High due to unexpected upgrades
Marketing Expenses,63456.23,67331.16497804552,3874.934978045516,6.11,Increased campaign costs
Consulting Fees,56539.02,70713.40265657623,14174.382656576236,25.07,Savings from in-house expertise
Salaries and Wages,94266.5,80023.74044517458,-14242.759554825418,-15.11,Overdue to overtime and staffing needs
Marketing Expenses,46783.62,39831.94646044043,-6951.673539559575,-14.86,Increased campaign costs
Miscellaneous Expenses,84762.54,74757.81110385599,-10004.728896144006,-11.8,Unexpected miscellaneous costs
Salaries and Wages,52759.54,62810.82954497353,10051.28954497353,19.05,Overdue to overtime and staffing needs
Employee Benefits,13607.59,15796.5757407253,2188.9857407253003,16.09,Lower due to reduced benefits claims
Technology Equipment,63032.64,55444.94782380581,-7587.692176194192,-12.04,High due to unexpected upgrades
Office Supplies,35016.64,34119.015009684976,-897.6249903150238,-2.56,Overdue to remote work increase
Training and Development,27462.22,22576.454687028578,-4885.765312971424,-17.79,Underutilized training budget
Utilities,53303.26,60412.803382213795,7109.543382213793,13.34,"Efficient usage, possibly due to energy-saving initiatives"
Employee Benefits,98624.64,114058.47802513899,15433.83802513899,15.65,Lower due to reduced benefits claims
Training and Development,12103.53,12455.38190340062,351.85190340061854,2.91,Underutilized training budget
Travel Expenses,18746.91,23955.184506373724,5208.274506373724,27.78,Under budget due to reduced travel
Miscellaneous Expenses,20425.31,18778.26816855166,-1647.0418314483395,-8.06,Unexpected miscellaneous costs
Office Supplies,95687.98,83900.10036313368,-11787.879636866317,-12.32,Overdue to remote work increase
Miscellaneous Expenses,14663.82,14957.546199820887,293.7261998208869,2.0,Unexpected miscellaneous costs
Salaries and Wages,63378.87,80747.96594232503,17369.095942325024,27.41,Overdue to overtime and staffing needs
Salaries and Wages,57914.02,53190.43552916893,-4723.584470831069,-8.16,Overdue to overtime and staffing needs
Technology Equipment,15047.83,14088.035250737224,-959.7947492627754,-6.38,High due to unexpected upgrades
Consulting Fees,76472.99,69298.15923827355,-7174.830761726451,-9.38,Savings from in-house expertise
Training and Development,41118.14,39466.053124288315,-1652.0868757116841,-4.02,Underutilized training budget
Training and Development,58014.27,61008.17776086873,2993.9077608687367,5.16,Underutilized training budget
Consulting Fees,62364.37,65616.45442214086,3252.084422140855,5.21,Savings from in-house expertise
Training and Development,31450.94,40196.30293384274,8745.362933842738,27.81,Underutilized training budget
Office Supplies,84026.3,73985.03122389899,-10041.268776101017,-11.95,Overdue to remote work increase
Travel Expenses,52188.74,50198.979391786634,-1989.7606082133643,-3.81,Under budget due to reduced travel
Salaries and Wages,98893.72,106575.51047221683,7681.790472216831,7.77,Overdue to overtime and staffing needs
Utilities,17346.36,18186.41375630253,840.0537563025282,4.84,"Efficient usage, possibly due to energy-saving initiatives"
Miscellaneous Expenses,70191.79,58115.65240120561,-12076.137598794383,-17.2,Unexpected miscellaneous costs
Employee Benefits,55907.45,55008.13337190598,-899.3166280940204,-1.61,Lower due to reduced benefits claims
Technology Equipment,46799.9,44261.963785137516,-2537.936214862486,-5.42,High due to unexpected upgrades
Salaries and Wages,25300.54,29902.253734062433,4601.713734062432,18.19,Overdue to overtime and staffing needs
Office Supplies,48466.76,59132.14738361295,10665.38738361295,22.01,Overdue to remote work increase
Technology Equipment,54405.16,60259.20549014105,5854.0454901410485,10.76,High due to unexpected upgrades
Employee Benefits,73109.85,93051.36533275842,19941.515332758412,27.28,Lower due to reduced benefits claims
Technology Equipment,23122.83,20836.76298179159,-2286.0670182084104,-9.89,High due to unexpected upgrades
Salaries and Wages,67742.02,70258.70034689907,2516.6803468990693,3.72,Overdue to overtime and staffing needs
Travel Expenses,63233.55,69713.87430633944,6480.324306339433,10.25,Under budget due to reduced travel
Utilities,62214.45,51695.522224420834,-10518.927775579163,-16.91,"Efficient usage, possibly due to energy-saving initiatives"
Office Supplies,47617.72,51177.97435470652,3560.2543547065216,7.48,Overdue to remote work increase
Office Supplies,75415.09,65202.019294629084,-10213.070705370912,-13.54,Overdue to remote work increase
Office Supplies,87811.13,105485.41359112399,17674.28359112398,20.13,Overdue to remote work increase
Employee Benefits,48750.56,53119.38160527304,4368.821605273042,8.96,Lower due to reduced benefits claims
Employee Benefits,96006.92,103429.26994529623,7422.349945296228,7.73,Lower due to reduced benefits claims
Marketing Expenses,44681.32,40276.262152453106,-4405.057847546894,-9.86,Increased campaign costs
Employee Benefits,10578.96,11818.007427610512,1239.0474276105124,11.71,Lower due to reduced benefits claims
Consulting Fees,16365.91,14277.517410466655,-2088.392589533345,-12.76,Savings from in-house expertise
Miscellaneous Expenses,31709.83,31472.947699740158,-236.88230025984376,-0.75,Unexpected miscellaneous costs
Employee Benefits,17995.98,21432.273164731112,3436.2931647311125,19.09,Lower due to reduced benefits claims
Miscellaneous Expenses,86191.26,93304.55778065782,7113.297780657827,8.25,Unexpected miscellaneous costs
Consulting Fees,58291.74,49150.89120797424,-9140.848792025761,-15.68,Savings from in-house expertise
Office Supplies,65362.42,78804.26499938947,13441.844999389476,20.57,Overdue to remote work increase
Technology Equipment,33451.21,28446.465490270024,-5004.744509729975,-14.96,High due to unexpected upgrades
Employee Benefits,61455.99,65342.39772489847,3886.4077248984686,6.32,Lower due to reduced benefits claims
Consulting Fees,13089.82,10999.283318185768,-2090.536681814232,-15.97,Savings from in-house expertise
Training and Development,68763.07,57683.21594323454,-11079.854056765464,-16.11,Underutilized training budget
Salaries and Wages,67930.47,61613.818606733636,-6316.651393266366,-9.3,Overdue to overtime and staffing needs
Travel Expenses,13888.28,17709.325083903943,3821.045083903942,27.51,Under budget due to reduced travel
Consulting Fees,35422.46,30458.590122763213,-4963.869877236786,-14.01,Savings from in-house expertise
Training and Development,75850.09,77120.98708074297,1270.8970807429723,1.68,Underutilized training budget
Marketing Expenses,11216.66,10086.118545883875,-1130.5414541161244,-10.08,Increased campaign costs
Miscellaneous Expenses,71611.45,67909.57474816086,-3701.875251839141,-5.17,Unexpected miscellaneous costs
Training and Development,69178.19,85879.24617469647,16701.056174696467,24.14,Underutilized training budget
Miscellaneous Expenses,61325.67,57381.28573681956,-3944.3842631804364,-6.43,Unexpected miscellaneous costs
Technology Equipment,27747.49,27511.017104098042,-236.47289590195942,-0.85,High due to unexpected upgrades
Employee Benefits,29056.44,31653.827953688917,2597.387953688918,8.94,Lower due to reduced benefits claims
Consulting Fees,28052.15,23008.270736799008,-5043.879263200994,-17.98,Savings from in-house expertise
Salaries and Wages,43397.83,46440.436657745355,3042.606657745353,7.01,Overdue to overtime and staffing needs
Office Supplies,78279.89,64329.61375998224,-13950.27624001776,-17.82,Overdue to remote work increase
Salaries and Wages,21780.91,22345.839704007045,564.9297040070451,2.59,Overdue to overtime and staffing needs
Marketing Expenses,33890.14,35562.36061192458,1672.220611924582,4.93,Increased campaign costs
Technology Equipment,84614.81,100639.44624108342,16024.636241083426,18.94,High due to unexpected upgrades
Consulting Fees,83108.71,104881.34988810978,21772.63988810977,26.2,Savings from in-house expertise
Office Supplies,74658.32,72713.99791729214,-1944.3220827078621,-2.6,Overdue to remote work increase
Travel Expenses,94949.41,97906.27654537314,2956.8665453731373,3.11,Under budget due to reduced travel
Consulting Fees,41835.15,36165.32604706811,-5669.823952931889,-13.55,Savings from in-house expertise
Employee Benefits,97437.91,123463.94924067428,26026.039240674276,26.71,Lower due to reduced benefits claims
Salaries and Wages,50606.54,44273.220645686626,-6333.319354313375,-12.51,Overdue to overtime and staffing needs
Office Supplies,92841.49,87992.57717829128,-4848.912821708727,-5.22,Overdue to remote work increase
Technology Equipment,73572.65,61121.6112864166,-12451.038713583395,-16.92,High due to unexpected upgrades
Utilities,11083.15,11288.109028738225,204.95902873822524,1.85,"Efficient usage, possibly due to energy-saving initiatives"
Miscellaneous Expenses,99426.9,120235.70342602677,20808.803426026774,20.93,Unexpected miscellaneous costs
Utilities,92166.92,106757.83946092718,14590.91946092718,15.83,"Efficient usage, possibly due to energy-saving initiatives"
Technology Equipment,68635.99,67730.75459718879,-905.2354028112168,-1.32,High due to unexpected upgrades
Salaries and Wages,12300.23,14618.796659440504,2318.5666594405047,18.85,Overdue to overtime and staffing needs
Consulting Fees,22924.53,26566.53383686966,3642.0038368696623,15.89,Savings from in-house expertise
Office Supplies,36628.31,41745.39883159832,5117.088831598325,13.97,Overdue to remote work increase
Employee Benefits,83552.48,97659.42743999687,14106.947439996875,16.88,Lower due to reduced benefits claims
Marketing Expenses,90303.03,114520.42183289207,24217.39183289207,26.82,Increased campaign costs
Training and Development,56759.11,49499.063488879474,-7260.046511120527,-12.79,Underutilized training budget
Employee Benefits,12509.95,15922.67182235637,3412.7218223563686,27.28,Lower due to reduced benefits claims
Utilities,74479.4,77873.38858647458,3393.9885864745884,4.56,"Efficient usage, possibly due to energy-saving initiatives"
Utilities,32181.33,29355.201696182976,-2826.128303817026,-8.78,"Efficient usage, possibly due to energy-saving initiatives"
Office Supplies,45294.48,58506.45802057553,13211.978020575523,29.17,Overdue to remote work increase
Marketing Expenses,43770.58,39205.97389998278,-4564.606100017219,-10.43,Increased campaign costs
Miscellaneous Expenses,74052.44,91667.80994441586,17615.369944415856,23.79,Unexpected miscellaneous costs
Marketing Expenses,59777.91,58035.72696962555,-1742.18303037445,-2.91,Increased campaign costs
Salaries and Wages,97222.0,80361.62047336348,-16860.37952663652,-17.34,Overdue to overtime and staffing needs
Miscellaneous Expenses,36318.17,34105.2891602482,-2212.8808397518005,-6.09,Unexpected miscellaneous costs
Utilities,29516.2,30261.05342785738,744.8534278573788,2.52,"Efficient usage, possibly due to energy-saving initiatives"
Employee Benefits,48004.73,60808.11560442933,12803.385604429328,26.67,Lower due to reduced benefits claims
Salaries and Wages,23735.98,24322.339315806952,586.3593158069525,2.47,Overdue to overtime and staffing needs
Utilities,66029.94,59568.31880555912,-6461.621194440879,-9.79,"Efficient usage, possibly due to energy-saving initiatives"
Office Supplies,75141.22,65873.19299533704,-9268.02700466296,-12.33,Overdue to remote work increase
Marketing Expenses,71600.54,73603.7533359281,2003.2133359280997,2.8,Increased campaign costs
Technology Equipment,46836.73,58874.63895600214,12037.908956002138,25.7,High due to unexpected upgrades
Travel Expenses,16609.83,16151.158296764108,-458.6717032358938,-2.76,Under budget due to reduced travel
Office Supplies,86330.16,85410.7826613554,-919.3773386445973,-1.06,Overdue to remote work increase
Technology Equipment,94144.72,99273.66532117638,5128.945321176376,5.45,High due to unexpected upgrades
Utilities,17742.48,14728.572563720243,-3013.9074362797564,-16.99,"Efficient usage, possibly due to energy-saving initiatives"
Office Supplies,72603.85,84174.93628557688,11571.08628557688,15.94,Overdue to remote work increase
Office Supplies,36690.92,31308.490125273183,-5382.429874726815,-14.67,Overdue to remote work increase
Marketing Expenses,72963.1,75377.37032051572,2414.270320515716,3.31,Increased campaign costs
Training and Development,96686.04,102981.94712727157,6295.907127271581,6.51,Underutilized training budget
Consulting Fees,64342.9,71980.31353279945,7637.413532799452,11.87,Savings from in-house expertise
Miscellaneous Expenses,71160.81,76037.58998999589,4876.779989995892,6.85,Unexpected miscellaneous costs
Training and Development,60470.77,76957.45019219803,16486.68019219803,27.26,Underutilized training budget
Miscellaneous Expenses,34133.65,39153.114737529395,5019.4647375293935,14.71,Unexpected miscellaneous costs
Employee Benefits,96946.24,95169.48794622475,-1776.752053775257,-1.83,Lower due to reduced benefits claims
Technology Equipment,61925.35,58146.63556771355,-3778.714432286448,-6.1,High due to unexpected upgrades
Office Supplies,90408.24,97923.19252600228,7514.952526002278,8.31,Overdue to remote work increase
Technology Equipment,93978.81,420292.3639639496,326313.5539639496,347.22,High due to unexpected upgrades
Utilities,67995.76,55325.27285764705,-12670.487142352948,-18.63,"Efficient usage, possibly due to energy-saving initiatives"
Utilities,48537.2,44690.91043943816,-3846.2895605618396,-7.92,"Efficient usage, possibly due to energy-saving initiatives"
Consulting Fees,60755.37,65049.3897367045,4294.019736704497,7.07,Savings from in-house expertise
Travel Expenses,41648.56,33377.166113505315,-8271.393886494683,-19.86,Under budget due to reduced travel
Travel Expenses,87819.93,72733.49248566054,-15086.437514339457,-17.18,Under budget due to reduced travel
Technology Equipment,37795.92,30308.178881568623,-7487.741118431375,-19.81,High due to unexpected upgrades
Utilities,21960.15,22826.011503732236,865.8615037322343,3.94,"Efficient usage, possibly due to energy-saving initiatives"
Marketing Expenses,56899.36,59711.395808183246,2812.0358081832455,4.94,Increased campaign costs
Training and Development,16089.86,17744.63964819436,1654.7796481943587,10.28,Underutilized training budget
Training and Development,13243.43,15009.603888977548,1766.173888977548,13.34,Underutilized training budget
Office Supplies,96766.98,110358.80604333186,13591.826043331865,14.05,Overdue to remote work increase
Consulting Fees,23176.1,25045.24568538355,1869.1456853835516,8.06,Savings from in-house expertise
Miscellaneous Expenses,68125.26,78874.38469233511,10749.124692335114,15.78,Unexpected miscellaneous costs
Marketing Expenses,11340.97,13557.99809974123,2217.02809974123,19.55,Increased campaign costs
Technology Equipment,40617.43,35549.426070278794,-5068.003929721206,-12.48,High due to unexpected upgrades
Salaries and Wages,25391.34,22977.180438064042,-2414.1595619359578,-9.51,Overdue to overtime and staffing needs
Office Supplies,61456.44,52665.780567204034,-8790.659432795968,-14.3,Overdue to remote work increase
Salaries and Wages,59584.03,63435.327798912964,3851.297798912965,6.46,Overdue to overtime and staffing needs
Marketing Expenses,83619.17,96657.79118093144,13038.62118093144,15.59,Increased campaign costs
Technology Equipment,96256.89,106242.21096476117,9985.320964761166,10.37,High due to unexpected upgrades
Technology Equipment,60749.45,54628.03873326631,-6121.4112667336885,-10.08,High due to unexpected upgrades
Miscellaneous Expenses,95579.76,83826.35038818094,-11753.40961181905,-12.3,Unexpected miscellaneous costs
Travel Expenses,44511.73,41159.961484778265,-3351.768515221738,-7.53,Under budget due to reduced travel
Training and Development,53695.45,63070.90163057894,9375.451630578944,17.46,Underutilized training budget
Salaries and Wages,33528.78,29385.7845884413,-4142.995411558699,-12.36,Overdue to overtime and staffing needs
Travel Expenses,73235.71,84256.02000129328,11020.31000129327,15.05,Under budget due to reduced travel
Employee Benefits,96753.82,122084.30021354517,25330.48021354516,26.18,Lower due to reduced benefits claims
Utilities,97999.49,89451.80811344252,-8547.68188655749,-8.72,"Efficient usage, possibly due to energy-saving initiatives"
Employee Benefits,86752.87,90547.61901310999,3794.749013109991,4.37,Lower due to reduced benefits claims
Office Supplies,69427.51,59760.42703943767,-9667.082960562322,-13.92,Overdue to remote work increase
Employee Benefits,26572.38,30364.853665812287,3792.4736658122856,14.27,Lower due to reduced benefits claims
Salaries and Wages,85142.52,92757.4775687594,7614.95756875939,8.94,Overdue to overtime and staffing needs
Technology Equipment,73925.0,93895.34824913298,19970.348249132978,27.01,High due to unexpected upgrades
Miscellaneous Expenses,82365.84,71362.19569651157,-11003.644303488429,-13.36,Unexpected miscellaneous costs
Consulting Fees,79159.21,74643.35078698369,-4515.859213016316,-5.7,Savings from in-house expertise
Employee Benefits,64633.6,54394.62529686322,-10238.97470313678,-15.84,Lower due to reduced benefits claims
Marketing Expenses,78832.31,74470.07423154448,-4362.235768455517,-5.53,Increased campaign costs
Technology Equipment,39980.53,40404.150599308436,423.6205993084368,1.06,High due to unexpected upgrades
Miscellaneous Expenses,57164.79,48847.96414221814,-8316.825857781863,-14.55,Unexpected miscellaneous costs
Employee Benefits,35076.04,31653.676825489772,-3422.3631745102284,-9.76,Lower due to reduced benefits claims
Employee Benefits,24008.31,22842.692045179792,-1165.617954820209,-4.86,Lower due to reduced benefits claims
Utilities,15731.23,17979.58849755819,2248.3584975581907,14.29,"Efficient usage, possibly due to energy-saving initiatives"
Technology Equipment,16057.59,18376.000128349682,2318.410128349682,14.44,High due to unexpected upgrades
Miscellaneous Expenses,30987.44,39577.33921991345,8589.899219913448,27.72,Unexpected miscellaneous costs
Employee Benefits,25947.43,29457.935668843587,3510.505668843587,13.53,Lower due to reduced benefits claims
Miscellaneous Expenses,73050.38,94240.44093425063,21190.06093425062,29.01,Unexpected miscellaneous costs
Utilities,88684.36,78852.3292055657,-9832.030794434308,-11.09,"Efficient usage, possibly due to energy-saving initiatives"
Miscellaneous Expenses,40111.01,37050.29521252182,-3060.7147874781804,-7.63,Unexpected miscellaneous costs
Salaries and Wages,30134.32,27046.31212095156,-3088.0078790484404,-10.25,Overdue to overtime and staffing needs
Utilities,46499.31,58036.98686600976,11537.676866009766,24.81,"Efficient usage, possibly due to energy-saving initiatives"
Miscellaneous Expenses,29380.3,27918.0368565628,-1462.2631434371979,-4.98,Unexpected miscellaneous costs
Technology Equipment,58925.03,70838.37886468277,11913.348864682775,20.22,High due to unexpected upgrades
Salaries and Wages,77886.55,89708.00589401639,11821.455894016384,15.18,Overdue to overtime and staffing needs
Travel Expenses,81539.68,102239.21843293343,20699.538432933434,25.39,Under budget due to reduced travel
Training and Development,49491.34,47234.59562264457,-2256.744377355426,-4.56,Underutilized training budget
Marketing Expenses,41742.03,38234.20951807995,-3507.8204819200473,-8.4,Increased campaign costs
Training and Development,22558.52,18723.746746276676,-3834.773253723324,-17.0,Underutilized training budget
Consulting Fees,98432.27,108269.03418103658,9836.764181036575,9.99,Savings from in-house expertise
Consulting Fees,36987.08,42996.34243648288,6009.262436482881,16.25,Savings from in-house expertise
Marketing Expenses,89865.23,73478.91362675218,-16386.316373247813,-18.23,Increased campaign costs
Office Supplies,25776.45,23357.156368150758,-2419.293631849243,-9.39,Overdue to remote work increase
Salaries and Wages,37486.28,36438.610204003875,-1047.6697959961239,-2.79,Overdue to overtime and staffing needs
Employee Benefits,31051.78,25992.724939868185,-5059.055060131814,-16.29,Lower due to reduced benefits claims
Office Supplies,10595.92,12438.762855992678,1842.8428559926779,17.39,Overdue to remote work increase
Miscellaneous Expenses,92513.68,117193.35672397676,24679.676723976765,26.68,Unexpected miscellaneous costs
Marketing Expenses,79235.82,67915.85306803409,-11319.966931965915,-14.29,Increased campaign costs
Marketing Expenses,87167.49,110940.90484509303,23773.414845093022,27.27,Increased campaign costs
Consulting Fees,29608.02,36613.16593928973,7005.145939289727,23.66,Savings from in-house expertise
Training and Development,55021.9,65327.60222849841,10305.702228498405,18.73,Underutilized training budget
Technology Equipment,87446.62,85242.77290645159,-2203.8470935484074,-2.52,High due to unexpected upgrades
Technology Equipment,48255.74,55203.22017230591,6947.480172305914,14.4,High due to unexpected upgrades
Travel Expenses,73866.09,84307.39265005468,10441.302650054684,14.14,Under budget due to reduced travel
Consulting Fees,61284.24,69933.19971456054,8648.959714560544,14.11,Savings from in-house expertise
Office Supplies,97283.65,97143.40273090548,-140.2472690945142,-0.14,Overdue to remote work increase
Employee Benefits,86556.12,93432.75372201887,6876.6337220188725,7.94,Lower due to reduced benefits claims
Marketing Expenses,71631.73,59869.2738677954,-11762.4561322046,-16.42,Increased campaign costs
Marketing Expenses,98110.22,110674.38937803448,12564.16937803448,12.81,Increased campaign costs
Travel Expenses,54469.96,57723.16125181996,3253.2012518199626,5.97,Under budget due to reduced travel
Miscellaneous Expenses,51114.08,55421.09657506455,4307.0165750645465,8.43,Unexpected miscellaneous costs
Employee Benefits,46399.72,39756.35979023175,-6643.360209768252,-14.32,Lower due to reduced benefits claims
Technology Equipment,90218.62,106178.9381332564,15960.318133256398,17.69,High due to unexpected upgrades
Travel Expenses,34261.99,42824.14280959413,8562.152809594132,24.99,Under budget due to reduced travel
Training and Development,60003.27,53360.90993551353,-6642.360064486464,-11.07,Underutilized training budget
Technology Equipment,34273.89,35320.566711766514,1046.676711766515,3.05,High due to unexpected upgrades
Travel Expenses,31300.12,32618.24556003447,1318.1255600344703,4.21,Under budget due to reduced travel
Consulting Fees,84519.36,96160.16569844418,11640.80569844418,13.77,Savings from in-house expertise
Miscellaneous Expenses,47819.71,44898.844245310924,-2920.8657546890754,-6.11,Unexpected miscellaneous costs
Training and Development,51466.46,61079.455148933535,9612.995148933536,18.68,Underutilized training budget
Travel Expenses,33062.63,36129.7316561656,3067.1016561655997,9.28,Under budget due to reduced travel
Travel Expenses,54895.74,55177.354087298205,281.61408729820687,0.51,Under budget due to reduced travel
Consulting Fees,65701.57,69332.57104105214,3631.0010410521354,5.53,Savings from in-house expertise
Training and Development,20247.85,20320.421540249077,72.57154024907868,0.36,Underutilized training budget
Utilities,88642.66,105121.05492566134,16478.39492566134,18.59,"Efficient usage, possibly due to energy-saving initiatives"
Technology Equipment,57295.62,63977.28359690207,6681.6635969020645,11.66,High due to unexpected upgrades
Office Supplies,33197.95,27880.118489958368,-5317.831510041629,-16.02,Overdue to remote work increase
Technology Equipment,61815.02,62857.61049303287,1042.590493032876,1.69,High due to unexpected upgrades
Travel Expenses,85822.95,80114.97768776647,-5707.972312233527,-6.65,Under budget due to reduced travel
Employee Benefits,49972.43,63349.10297450661,13376.672974506611,26.77,Lower due to reduced benefits claims
Training and Development,57878.8,59652.43315746583,1773.6331574658252,3.06,Underutilized training budget
Training and Development,80976.46,66057.22833457206,-14919.231665427942,-18.42,Underutilized training budget
Technology Equipment,48191.95,41402.90679950336,-6789.043200496635,-14.09,High due to unexpected upgrades
Office Supplies,30113.3,30346.575711797163,233.27571179716324,0.77,Overdue to remote work increase
Training and Development,67184.47,70018.27655809118,2833.806558091179,4.22,Underutilized training budget
Miscellaneous Expenses,56584.3,72942.15634016524,16357.856340165235,28.91,Unexpected miscellaneous costs
Travel Expenses,47056.24,55930.3729880808,8874.132988080804,18.86,Under budget due to reduced travel
Miscellaneous Expenses,26680.31,24187.33608614102,-2492.973913858983,-9.34,Unexpected miscellaneous costs
Employee Benefits,68851.21,75443.22767946811,6592.017679468103,9.57,Lower due to reduced benefits claims
Training and Development,47660.01,57183.23772050181,9523.22772050181,19.98,Underutilized training budget
Training and Development,54351.56,44530.45627645903,-9821.103723540968,-18.07,Underutilized training budget
Consulting Fees,81954.98,97115.18381589504,15160.203815895045,18.5,Savings from in-house expertise
Employee Benefits,80786.07,92204.03879061902,11417.968790619008,14.13,Lower due to reduced benefits claims
Employee Benefits,36218.43,40943.21737922673,4724.787379226727,13.05,Lower due to reduced benefits claims
Office Supplies,34226.26,41611.507914144124,7385.247914144122,21.58,Overdue to remote work increase
Technology Equipment,85021.12,71646.1244084832,-13374.995591516796,-15.73,High due to unexpected upgrades
Utilities,17154.64,15973.412993077869,-1181.2270069221304,-6.89,"Efficient usage, possibly due to energy-saving initiatives"
Employee Benefits,69508.22,77503.81629133008,7995.5962913300755,11.5,Lower due to reduced benefits claims
Utilities,85726.49,101215.54115339648,15489.051153396475,18.07,"Efficient usage, possibly due to energy-saving initiatives"
Travel Expenses,65350.95,73491.4602001378,8140.510200137796,12.46,Under budget due to reduced travel
Training and Development,52343.16,46195.88936462191,-6147.270635378096,-11.74,Underutilized training budget
Consulting Fees,66190.0,55413.93953930162,-10776.060460698383,-16.28,Savings from in-house expertise
Miscellaneous Expenses,95869.38,109095.43631505659,13226.056315056587,13.8,Unexpected miscellaneous costs
Training and Development,37034.86,34153.11846149241,-2881.7415385075874,-7.78,Underutilized training budget
Technology Equipment,27329.37,29875.662568846292,2546.292568846293,9.32,High due to unexpected upgrades
Office Supplies,97918.88,94314.39758086936,-3604.4824191306398,-3.68,Overdue to remote work increase
Office Supplies,81565.3,98548.2231998921,16982.923199892102,20.82,Overdue to remote work increase
Employee Benefits,15988.72,13133.449105683116,-2855.2708943168836,-17.86,Lower due to reduced benefits claims
Technology Equipment,99978.31,126361.18937469364,26382.879374693643,26.39,High due to unexpected upgrades
Marketing Expenses,39567.33,39173.314198839405,-394.0158011605963,-1.0,Increased campaign costs
Utilities,39953.27,48241.78319958513,8288.513199585133,20.75,"Efficient usage, possibly due to energy-saving initiatives"
Utilities,29878.59,29628.971380213723,-249.61861978627712,-0.84,"Efficient usage, possibly due to energy-saving initiatives"
Office Supplies,96413.11,100873.56188274747,4460.451882747468,4.63,Overdue to remote work increase
Training and Development,34488.19,29917.54876689434,-4570.641233105664,-13.25,Underutilized training budget
Training and Development,74348.53,70539.03675379936,-3809.49324620064,-5.12,Underutilized training budget
Employee Benefits,99622.94,110507.63854392963,10884.698543929626,10.93,Lower due to reduced benefits claims
Miscellaneous Expenses,14588.05,12134.120315415525,-2453.9296845844747,-16.82,Unexpected miscellaneous costs
